X96_con_rep1	X96_con_rep2
rbp4	779.605057145731	617.540284156756
eef1b2	778.454732466901	665.203347580646
pkmb	774.230589299235	785.31759463736
faua	771.454566727996	589.105838585045
zgc:66127	769.80608227919	700.846668072844
slc1a2b	764.122818244045	780.184100904485
PTMS	758.716920889206	681.982266927366
ubc	756.403699645494	750.405083962454
tuba1l2	753.65124923136	708.683564226992
rpl34	753.601747494646	555.989456543136
paics	750.482356099808	483.394487466802
slc25a4	746.610224914479	748.123531192287
atp5g3b	741.248328954037	685.291706791126
rps15a	740.03514505173	567.877891239784
cfl1	734.951401372304	659.44005014194
marcksl1b	722.619983580591	600.927727976443
rps16	714.863149323878	565.788844496689
ppiab	713.400099729083	642.690838503506
ldhba	709.804549313164	678.262860592531
rpl22	709.31188978211	552.119729097981
acta1a	708.717869665312	688.191180087094
khdrbs1a	702.140432483457	685.030278861485
col5a1	699.793424412295	706.764445594642
tfa	699.163260252338	611.372961788631
tuba8l4	696.911326720497	737.428752533773
zgc:112425	688.367180141739	641.995677936159
calm2a	685.394722238646	602.413113971087
histh1l	684.581480440389	367.094117286291
col9a2	679.536238019833	600.517761505367
crygn2	675.26573624206	543.603120404138
hnrnpa0b	671.652113804561	646.766737531217
atp1a3a	659.646778518972	695.558694256876
hnrnpa0l	655.069051960759	594.671282483457
ccni	654.262096002133	548.21078755526
apoc1l	652.500464889031	455.961192002867
rps29	642.119256087642	538.724518934096
CT956064.3	638.150478747991	690.068707831126
tpm3	632.75872458402	593.181143390889
wu:fa03e10	632.699008280359	730.233543168771
IDH2	630.645867296082	654.876944601606
COL2A1 (2 of 2)	630.331570971907	671.923233419625
nnt	629.177317565761	695.915186853036
aldocb	628.705872976101	577.419416304749
si:ch211-212n6.17	627.700124676702	509.304965310695
hmgn2	624.3143670794	530.758097113786
MDH2	618.878611417638	583.64734233975
ncl	618.818895113977	662.541535950975
ccng1	618.552529014909	533.124019814174
opn1mw1	617.471349502583	549.321856232056
ywhaba	615.506997217995	577.204332361349
h1f0	615.293275672062	346.756807451352
crybb1l1	609.672870963789	578.804984244803
ddx5	606.633625109903	642.233339699171
crygm2d13	606.378259385283	511.650686788791
aldh9a1a	605.898957444387	480.637611267327
ywhabl	604.90420941604	560.610789153026
eif4a1b	604.3919063518	537.622956646578
gatm	598.302414269578	686.266119913087
si:ch211-212n6.16	596.277559977225	499.100364080705
calm1a	592.653722972779	495.468298398562
cryba4	588.296789607631	542.556220435271
glud1b	586.792881538255	637.925720546822
tpm2	585.245757675192	549.484654454125
cryba2b	583.674275847522	423.240516848116
crygm2d8	579.943578018411	492.925911920621
rps27.2	573.222350264627	485.483534306612
si:ch211-212n6.8	570.600332832264	503.687235787668
matn4	569.876665437801	538.278903116359
ptmaa	569.490080923911	525.40357799257
ywhaqb	568.071032826907	508.056647050628
atp1a1	564.305762466243	648.073877082708
pfn2	562.579489692195	437.838295507694
crygm2d3	557.476888183689	466.274523551574
ctnnb1	555.23124069827	555.126744365648
rtn1a	553.454680483404	489.942662819583
gngt2b	551.183889329273	507.010341206912
tnnt3a	550.378504882252	412.356202885
si:ch1073-429i10.3	549.459187963436	470.327250441091
MYOM2 (2 of 3)	546.127646534269	560.839538651909
pvalb4	538.538175109988	429.562913424484
eif1b	538.413242263743	444.009182723441
col9a3	536.710541750198	486.94515403791
ampd1	532.34967976113	513.178851825339
crygm2d5	527.972317158692	464.531274571627
stx1b	513.379536972295	464.079717308949
col4a5	513.330035338976	530.706405711038
eif3s10	510.612943263898	541.443369286306
vdac3	508.606946697229	461.755979525313
si:ch211-251b21.1	508.432512217666	495.333425412611
csde1	507.04017930098	472.853594862944
rplp2	502.16151400875	405.977955739679
gamt	501.187981025194	348.066917822029
h3f3d	501.104692564427	393.85185928002
arr3a	499.875793752855	496.961408310316
tpi1b	499.193770640474	380.683021824267
crygm2d4	496.313244460281	393.440110336775
atp5f1	494.656902660238	451.55910230915
cryba2a	494.481682373174	427.702616083557
eif4a1a	494.189386797895	512.350006522343
atp5o	492.279250681442	447.089873185033
col11a2	490.494047307839	531.584565819463
crygm2d1	486.280904514621	404.676163604695
zgc:158409	483.61174266465	391.565553315214
hbae1	481.746393750095	301.413916866759
hbbe2	476.840227573443	234.036811453521
mdh1a	475.145384411134	497.672017002032
zgc:86599	473.705907076841	456.503060834139
ENSDARG00000002369	472.123424874723	434.611443101987
COL5A2 (1 of 2)	471.358899005679	493.658504210081
cox6a1	471.204108059301	420.308959149825
ldha	469.310472452823	456.402648751115
apoea	468.738453084922	518.897587653257
spna2	464.43966451183	503.825079592806
mibp2	464.399591741354	419.336328403318
fkbp1aa	463.855073257875	390.660656220973
cct6a	463.536062502278	446.865282755638
fabp7a	456.450250983499	403.0559046241
ppib	456.404677974102	422.283334129261
si:ch211-212n6.18	453.445577764563	375.495460091324
gpm6ab	453.418862584245	370.492680274912
zgc:77702	451.51658381903	372.16938394961
pgk1	449.137360328629	453.067066123406
opn1sw2	448.256544772078	439.820394404239
slc43a2b	446.050184353029	416.648374106413
stxbp1a	440.86272287215	380.018757312224
apoc2	440.106054354343	378.875010107954
atp1b1a	440.003122256994	473.745420526852
ran	439.953620623676	423.041475057519
col10a1	438.096914867858	408.049177954517
tkt	438.026983893854	414.88789472336
tubb5	437.649828242806	422.622596225599
zgc:123103	436.776084436782	328.085506458098
appb	434.809374936484	443.328281836729
atp5c1	428.019002016196	389.592366586081
stmn1b	427.518485030509	330.901203948995
eef2l2	427.090256234537	429.887321715037
stau2	426.641598201274	373.431367765161
eif2s3	425.977647110473	373.505042959085
RPL38	424.704746801109	341.31138263639
crygm2d7	424.374735671064	343.423007295812
pkma	420.867973954834	451.573956114936
bsg	420.551320414948	397.987767849456
cct4	419.503927730071	410.548191168688
glula	417.938731845428	408.113346565731
zgc:162402	417.441357882952	366.962809244677
eif3c	416.953412783319	427.54100611179
sec61al1	409.637379208632	359.5453860476
clstn1	409.421300446988	411.532110776643
krt17	408.887782337957	345.771105371227
ppdpfb	408.018752859959	276.749974810765
aco2	407.94882198935	456.044967807937
ndufv1	407.319443533498	419.312562236688
MYL4	405.476095367839	398.259296390243
myl10	402.069908533247	353.344196901699
fn1b	402.040050329718	476.621721878057
CABZ01074130.1	400.881082492151	368.834989572203
gnb3b	399.952336710492	399.231332914884
prdx2	399.844690285118	361.739598165075
si:ch73-103b2.3	393.649123185733	415.301426138774
atp6v0ca	390.625592137715	394.302822417547
CPLX1 (1 of 2)	389.889352960594	371.372028730354
ces2	389.127184307261	336.070346931815
RPL29	388.223582194313	273.435781752365
cox4i1	387.682206734045	335.280121697949
atp6v0cb	387.167546454095	348.238034279791
ATP5G2	387.041827903745	374.074242804609
gnat2	386.883893934157	414.329389614133
ywhah	386.249801046883	350.479184605374
zgc:165347	384.714463365769	308.603184690104
myl12.1	384.286234569797	332.806657025861
h3f3a	384.253233446452	318.031226241712
HNRNPAB (2 of 2)	383.711072178684	376.352230727154
eef1da	380.779472853567	314.294589407055
hspa5	379.593789835683	370.58299174679
tnni2b.2	379.139631563498	352.114297391755
sncgb	377.792085952105	382.453007693315
eif3ea	376.814624241232	337.924702731084
gdi2	375.661942346692	371.937069603105
ldb3b	374.61376395771	402.202104807456
sncb	374.493545542887	297.584591962904
tnw	374.090460519022	340.662566055284
pfn2l	370.913710036233	359.114030007214
ckmt2	370.681916468719	338.3679419515
crygm2d9	370.564055269607	303.485733110032
si:ch211-255g12.6	370.385692166124	293.620393976381
nsa2	369.576378991787	282.815696845563
mdka	369.100219970706	339.951363335134
hnrnpm	364.78257367193	341.422489552427
myom1a	362.892866792768	415.840324150859
hmgb2a	362.613143103542	313.964833699996
rps26	362.267417064232	281.257824004012
capza1b	354.883809731252	322.778519573425
snap25a	353.628981546864	314.735451933436
srsf5a	353.379115957771	331.779958279286
tgfbi	353.350043458347	341.213941372551
vcp	352.416583348662	396.585563534731
si:dkeyp-86f7.3	350.978677422579	270.039001235914
myhb	350.200793963376	333.988430077395
pcdh1g30	350.172507271453	264.65477440641
sfpq	349.645275105449	315.190574140452
basp1	349.622488652448	327.663656806991
arf2	349.418195969357	341.204434886556
krt15	348.803746615269	282.803813762248
tmem38a	347.700566354047	307.388138985945
hsp90b1	347.483701888298	351.363286255456
cyc1	347.310838920341	331.264232308679
and1	347.150547735041	384.139811979159
crygm2d12	346.753748550808	287.442376871959
uqcrc1	346.137727685114	359.403977298125
canx	345.542136056711	370.952555773282
cox8a	345.313485512409	317.53035407689
cpe	345.29777070654	329.475827689508
crygm2d14	344.921400759596	300.327208481743
h2afvl	343.235986563526	290.517719917044
icn	341.622074749669	243.743511434591
anp32a	339.792869878273	298.879848431079
si:ch211-288g17.3	338.188386927259	309.865762727522
atp5l	336.917843937002	283.206056219498
acin1a	334.526048560547	297.065301047959
oaz2a	333.899813024511	326.843129642972
flna	333.464512581407	336.166599945351
UBAP2 (2 of 2)	332.583697024856	327.68682884847
fstl1b	331.922888957265	308.950170800269
oaz1	331.166220439458	281.599462794387
azin1b	329.690599062005	362.369995899341
psap	326.882360968131	316.576142177222
cotl1	326.266340102437	265.167529557831
zgc:86723	325.870326725704	282.444944472053
marcksb	325.138016172504	262.800418607141
cct7	323.256952452079	344.437228833921
mat2aa	323.016515725828	375.055785815245
chac1	322.85701034803	250.633325481031
tcp1	322.791793805447	333.481022245765
cct5	320.357568546201	309.555019992453
marcksl1a	320.301780866461	262.256767400415
rtn4a	319.788692098115	368.939560821432
eif5a2	319.493253499625	330.624922213568
desma	318.961306902199	336.159470153391
pck1	318.896090463012	339.896701113199
cct8	317.308108021972	301.916571407034
cct3	316.758875210467	325.90198907692
cycsb	315.577120816503	395.626598343708
crygmxl2	315.203108188666	254.652185592772
syncrip	314.528942427521	339.517630600712
ewsr1a	314.10385665476	286.748998680065
itm2ba	312.868671900162	290.827274305096
txnipa	312.374440857502	234.788416714971
hp1bp3	312.185077379571	252.708706668642
zgc:73075	311.872352463605	315.859591943849
setb	311.503839971294	294.622138209309
fabp3	310.980536532606	279.71777588415
got2b	310.586094564083	314.408667045563
MYOM2 (1 of 3)	310.496520160289	244.486204335198
si:busm1-118j2.5	310.163366007032	158.715862233017
btg1	308.575383565992	266.727778996701
suclg1	307.778642277709	290.920556499445
zgc:56493	306.808252317364	281.752754627177
tegt	306.607102657484	297.816312184258
cltca	306.472740948397	340.351823320215
anp32e	306.227589790725	298.204889086024
id1	305.903078796207	284.01588864722
uba1	305.639069809454	326.928093698344
rnf10	304.292309902166	295.095085138012
capzb	301.929587025135	314.563147128656
eif3d	300.525468029895	277.653089529552
dlst	299.890589335122	316.140626970632
hmgb1a	299.830087327355	240.686587139629
tpm1	298.416539365878	302.258804322559
tuba8l	297.338502876763	360.343335392007
TAF15	296.661980003304	298.736657209435
gpia	296.207035923618	274.126189125073
eif3i	295.765449537488	255.840494311115
c3a	295.548585071739	264.892436169422
ENSDARG00000073699	294.374688132407	303.83866085857
gfap	294.072963694285	235.73549882268
ywhai	294.016390310439	239.324785366204
smarca4	293.185076490602	288.312813063273
cry2a	292.804777816343	260.177821171751
hmgb2b	292.730918218418	255.607585839458
pl10	291.732241462754	330.012943229425
pdhb	291.355085915102	301.718718060171
uqcrfs1	290.858497656731	278.036913236679
cox7c	289.155011335685	230.483768381808
serinc1	289.048936318521	276.697095157715
CABZ01079178.1	288.796713513717	374.061171470993
cspg5a	288.359055751507	248.576363043543
ndrg4	288.194835942287	250.888811869015
hdac1	287.151371984726	278.982212775503
pabpc4	286.739643802124	281.745030613351
vdac1	286.331058539337	268.083045103318
fabp2	284.55135530126	208.45014777503
sf3b1	283.847331439982	290.107159224101
ogt.1	283.479604755172	262.835473731934
hnrnpa0a	281.231600054042	300.459110745224
ywhae1	280.814371632518	271.476854800583
slc6a1	280.467074081602	289.141658366269
KRT23 (7 of 15)	280.453716491444	280.510377812051
KRT23 (1 of 15)	280.430144334338	230.248483216117
HIST2H2AB (28 of 30)	279.884054339253	206.898216571852
krt18	279.339535855774	270.455503470514
aldh6a1	278.843733404904	272.996107573002
eif3ba	276.339577068258	296.504419244696
KRT18 (2 of 3)	275.193181116745	220.178160846927
caprin1b	274.908742892702	245.240780415834
gstp1	274.760237889351	252.967758000963
EIF3F	274.525301402022	224.552919429677
eif4g2b	273.80634843898	285.987292807469
ndufs1	273.008035639092	306.67218297444
cfl1l	272.907460860849	199.353050277499
mdkb	272.665452622993	204.953549300704
cdh2	272.564877844751	260.126129769003
sdha	271.891497787711	328.951189358056
dldh	271.256619196333	254.652779717923
serpina1	270.840176478914	150.937787370292
col18a1	270.298015314541	273.893874778568
atp1a1b	268.537955609649	280.848451658087
cox6b2	267.089835116617	230.337012215826
ENSDARG00000089776	267.059191208984	244.204575183264
khdrbs1b	267.001046416928	235.386730240347
tdh	264.870117107411	254.186962677895
rhbg	264.65010961845	284.602913117716
eif4ebp2	264.438745288227	218.836560295794
ppp2r1a	264.384529223488	257.587902360551
myoz1b	264.28395434185	215.420766807353
nucks1a	263.429068261511	276.858705129482
kidins220b	263.315135789715	248.733219820671
glulb	263.245204919106	278.741580290021
ckmt1	263.236561760369	254.268956010796
ENSDARG00000089414	261.63129310525	199.010223140107
thbs1b	260.222459575194	269.654583403636
fubp1	259.78715913209	248.453967266058
atp1b2a	259.47836294344	266.293452137129
MAPT (2 of 2)	257.756018896709	236.507899528289
pdha1a	257.554083532724	272.565345657767
hnrnpu	257.487295478535	248.486645696816
col11a1b	256.016388532503	288.491653438146
cs	255.488370662394	251.23342138186
atp1b3b	255.257362798985	253.370000458213
h3f3c	254.36161814067	248.562103362909
hmgb3a	253.928674913277	204.01359708167
col9a1	253.837528997877	153.900241027171
atp5d	253.291439106188	239.604037920818
cldni	252.017753092719	226.24863597965
ubap2	251.265013302228	253.263646833531
DYNC1H1	251.236726610306	279.451594759869
gnb1b	250.399912551547	225.197576941294
c9	250.230192503405	128.49122947325
zgc:153867	249.424808056385	200.01909726171
rab2a	247.752751450473	222.088961243584
try	247.633318739754	270.176845041052
sucla2	247.575959651804	257.230815542524
ogdha	247.39759654832	316.544057774899
smarce1	247.32609406271	215.655457751178
ywhabb	246.714787628438	224.779886456392
hspd1	245.921975067471	290.675170819323
and3	245.719253895986	177.404987851243
ctrb1	245.44345883068	290.752410860869
lgals2b	245.327169246569	222.923154059802
gnao1a	245.160592118243	228.683480582607
dcn	245.024659000946	209.688959645818
ap2m1a	244.281348073298	239.261210880142
pcna	244.050340209889	268.206035005954
srsf11	243.835832959851	235.836505030856
ppp1caa	243.757258930504	212.84451345492
ywhaqa	243.44924844596	226.824371588698
flot1b	243.065806851885	208.172083567434
stmn2a	242.71772370026	216.990522635502
xbp1	241.610614711722	225.940864063767
r3hdm1	241.488039184584	219.917327042437
CELA1 (1 of 8)	241.478610218345	273.472619349328
ahnak	241.07316797877	216.127216332864
ryr3	241.010308651897	236.402734153909
hhatla	240.874375534601	219.775918292961
tnc	240.487005213209	225.053791594499
pde6c	239.383824951987	281.982098251211
cltcb	238.450364842303	249.076640986498
sf1	238.413434991642	231.414214114847
ache	237.664623928468	246.358384759439
atf4b1	237.608836248727	243.808868392823
tardbpl	237.587621307331	230.228281993825
fh	237.537333866513	256.252837476226
ipo7	237.240323756416	236.764574166575
tuba2	236.952742612557	231.713667891753
eef1db	235.324687504437	174.805562554048
slc25a22	235.09603685674	178.384154264559
si:ch211-55g3.6	234.436014493254	187.961328579469
hmgb1b	233.452266839355	200.730894203727
p4hb	232.832317349741	210.319357380084
ywhag2	232.40880298519	217.110541815668
EIF4G1 (1 of 3)	232.174652201966	258.748285842775
cast	231.656848898804	233.407007844406
si:ch211-253p18.4	230.699030721116	193.779288143394
col4a6	230.602384566795	216.625117678499
cnot1	230.569383443451	222.078266507287
ivns1abpa	230.303017344383	214.548548240586
islr2	230.125439841609	184.925199728665
kif5aa	229.940004987599	223.334308877896
SEC24A	229.752998725378	241.476218345059
tnnc1b	229.684639262979	204.882250800815
tardbp	229.518062134653	217.888289937783
dynll1	229.30669780443	188.806216035268
ndufa4	229.26819654556	191.9992016632
alas1	229.114191303288	254.222017802688
atp5h	228.990829968649	201.675005492249
zgc:86896	228.573601547125	166.463635165589
crygmx	227.7682172035	162.804832594345
smyhc2	227.241770741601	246.778451938377
hnrpl	226.866972306263	221.278534690711
atp5g3a	225.70486154888	209.707972521092
aldh7a1	225.293919070383	229.564611510218
si:ch211-166a6.5	224.855475604068	169.284680169708
ctbp1	224.725042622297	220.274413860463
dpysl3	224.48067716873	207.298082431782
skp1	224.075234929155	201.105805646725
kars	224.010018386572	252.187633281528
ppp2cb	223.990374853386	210.407292254643
ola1	223.889014267643	205.974900630773
crygm2d15	223.285565288003	189.175185936609
rbm4.3	222.885623183954	204.150846761657
celf2	221.95609169819	201.257315007347
srsf1a	221.843730737999	203.565604666614
eif3s6ip	221.832730363551	195.542738248917
tmod4	221.71958359586	192.422239564608
seta	221.710154733017	217.508031078278
clta	221.594650853011	232.137299918312
gbas	221.083133492876	226.881410407952
zgc:65894	220.727978590723	226.192785507413
fga	220.623475085165	238.38423902202
srl	220.458469468445	214.071442242394
kpnb1	219.891950339465	240.814330333621
ewsr1b	219.064565143549	198.214650489735
atp6v1aa	218.714910376923	209.949199228441
gdi1	218.688981004106	208.549371511036
gtpbp4	218.648908130234	202.084377838175
h3f3b.1	218.285895876846	172.352299104252
hnrpdl	217.611730219096	209.441791396811
pabpc1b	217.610944411596	211.221283751854
arhgdia	216.80477426047	225.217778163586
hsp90aa1.1	216.710485321859	247.847335601705
kdm5bb	215.846956082783	199.091028125991
serpina1l	215.292223032357	234.36656716058
IGFN1 (2 of 3)	214.844350703199	216.487868095228
col5a3b	214.698202915559	175.759180231849
meis1	214.286474629561	182.362017806565
crygm2d11	213.538449270491	182.039986113332
rab11a	212.845425783662	210.076942422433
tceb2	212.654490794125	187.65355656687
pbx4	212.380267240425	171.698729328507
APOM	212.351980548502	174.73723477663
stau1	212.102900663514	191.483475595877
adssl1	211.994468430639	231.250227449044
alyref	211.431092221475	182.777331694148
sec61g	211.360375543366	146.491136065786
gpx4a	211.276301275098	156.198430172008
epyc	210.759283676041	186.838970944508
lamc1	210.749854813199	247.874072587521
eif5	210.62492207035	201.484876062497
tob1a	210.595063866821	181.124988407946
ppp1cb	210.355412844675	177.266549920954
nsfa	210.301982484041	210.583756128912
bhlhe40	210.284696166566	189.396211324951
gspt1l	210.245409203591	216.437959067933
sypb	210.230480101827	204.559624982431
flot2a	209.788107908195	201.844339477843
huwe1	209.304091535878	208.872591551287
npm1a	209.139085919158	210.136357839007
UBE2QL1	208.98429497278	200.202096802787
cbx5	208.622854230997	183.803436315572
acadvl	208.446062535724	234.077213994821
rsl24d1	208.406775469353	158.95411812118
aplp2	207.652464167256	235.75688839199
col6a2	207.493744493563	252.726531293614
hsp47	207.288666106367	164.606308643849
COX5A (2 of 3)	206.751219373415	188.654112549496
ptgdsb	206.682074103515	213.384599814024
hspa9	206.113197758825	261.73985308279
casq1a	205.629967090613	242.740578854646
agxtb	205.515248914712	262.465315580291
etf1	205.302313072883	215.341150168487
atp1a1a.4	205.154593877033	256.178568157151
col6a3	204.873298572806	214.513493115792
cfl2	204.478070900178	191.192934179815
chd4a	204.280064160113	202.995216474072
col17a1a	204.191275460424	213.408960105804
sumo3a	204.159060144581	178.098366043137
kpnb3	203.889550918907	238.196486189587
pcbp2	203.562682708677	189.840044670518
eif3m	203.435392750118	174.690296568522
pdia3	203.264101190371	195.390634763145
aqp3a	203.258601054844	196.889092091406
pnrc2	202.443001937481	166.081593930631
smyd1a	201.929913169136	217.157480023776
cd99l2	201.852910548	192.555924300258
ppp2r1b	201.782979573995	207.52207863931
prrc2a	200.869948701601	192.709216133048
amd1	200.614582873586	207.953434679696
safb	200.426790803865	192.861913743972
ptp4a1	200.365502988598	164.347851436678
hif1ab	199.655978991794	203.954775790247
chd4b	199.401398867884	191.351573332396
sepw1	199.223821468505	164.297348380948
calm2b	198.104926401414	194.32353347527
